member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_workshops_year,n_socials_year,workshop_ratio,social_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,y_paid_dues,n_other_events,other_ratio,school_grouped,major_grouped,level_grouped,tenure_years,is_discord_active
291,25,21,8,5,1,0.2,0.04,25,9.88,1,0,1,409.0,1,1455,135,17,32,1,19,0.76,UCF,Tech,Undergraduate,0.7972602739726027,1
286,2,2,1,1,0,0.5,0.0,0,9.084256095825644,0,1,1,546.0,0,0,0,0,4,1,1,0.5,UCF,Tech,Undergraduate,0.7835616438356164,0
288,11,10,5,1,1,0.09090909090909091,0.09090909090909091,0,9.084256095825644,0,1,1,291.0,1,1,1,1,8,1,9,0.8181818181818182,UCF,Tech,Undergraduate,0.7890410958904109,1
309,39,36,9,14,1,0.358974358974359,0.02564102564102564,36,8.11111111111111,1,0,1,532.0,1,7751,330,20,28,1,24,0.6153846153846154,UCF,Tech,Undergraduate,0.8465753424657534,1
56,1,1,1,1,0,1.0,0.0,0,9.084256095825644,0,0,1,201.0,0,66,7,4,1,1,0,0.0,UCF,Tech,Grad/Other,0.15342465753424658,1
285,5,4,1,1,0,0.2,0.0,0,9.084256095825644,0,1,1,446.0,0,0,0,0,11,1,4,0.8,UCF,Tech,Undergraduate,0.7808219178082192,0
76,2,2,1,1,0,0.5,0.0,0,9.084256095825644,0,1,1,75.0,0,1,1,1,2,1,1,0.5,UCF,Tech,Undergraduate,0.20821917808219179,1
81,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,81.0,0,3,2,2,4,1,0,0.0,UCF,Tech,Undergraduate,0.2219178082191781,1
76,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,402.0,0,0,0,0,2,1,0,0.0,UCF,Tech,Undergraduate,0.20821917808219179,0
285,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,449.0,0,0,0,0,10,1,1,1.0,UCF,Tech,Undergraduate,0.7808219178082192,0
285,2,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,431.0,0,0,0,0,2,1,2,1.0,UCF,Tech,Undergraduate,0.7808219178082192,0
278,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,433.0,0,0,0,0,3,1,0,0.0,UCF,Tech,Grad/Other,0.7616438356164383,0
309,8,7,2,4,1,0.5,0.125,0,9.084256095825644,0,0,1,813.0,1,576,161,14,24,1,3,0.375,UCF,Tech,Undergraduate,0.8465753424657534,1
26,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,25.0,0,1,1,1,1,1,0,0.0,UCF,Tech,Grad/Other,0.07123287671232877,1
266,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,265.0,0,1,1,1,2,1,0,0.0,UCF,Tech,Undergraduate,0.7287671232876712,1
266,4,4,3,0,0,0.0,0.0,0,9.084256095825644,0,1,1,270.0,0,2352,119,15,16,1,4,1.0,UCF,Tech,Grad/Other,0.7287671232876712,1
80,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,0,1,85.0,0,1,1,1,5,1,1,1.0,UCF,Tech,Undergraduate,0.2191780821917808,1
57,1,1,1,1,0,1.0,0.0,0,9.084256095825644,0,1,1,56.0,0,1,1,1,2,1,0,0.0,UCF,Tech,Undergraduate,0.15616438356164383,1
265,1,1,1,1,0,1.0,0.0,0,9.084256095825644,0,0,1,402.0,0,0,0,0,2,1,0,0.0,UCF,Tech,Undergraduate,0.726027397260274,0
265,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,1533.0,0,150,64,5,17,1,0,0.0,UCF,Tech,Undergraduate,0.726027397260274,1
69,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,81.0,0,1,1,1,2,1,0,0.0,UCF,Tech,Undergraduate,0.18904109589041096,1
76,2,2,2,0,0,0.0,0.0,0,9.084256095825644,0,1,1,781.0,0,0,0,0,5,1,2,1.0,UCF,Tech,Undergraduate,0.20821917808219179,0
76,3,3,3,2,0,0.6666666666666666,0.0,0,9.084256095825644,0,0,1,83.0,0,1,1,1,1,1,1,0.3333333333333333,UCF,Tech,Undergraduate,0.20821917808219179,1
90,7,7,3,3,0,0.42857142857142855,0.0,0,9.084256095825644,0,1,1,89.0,0,1,1,1,5,1,4,0.5714285714285714,UCF,Tech,Grad/Other,0.2465753424657534,1
308,10,9,6,0,0,0.0,0.0,0,9.084256095825644,0,0,1,456.0,1,177,27,5,24,1,10,1.0,UCF,Tech,Undergraduate,0.8438356164383561,1
244,5,5,2,1,0,0.2,0.0,0,9.084256095825644,0,0,1,243.0,0,31,6,5,4,1,4,0.8,UCF,Tech,Undergraduate,0.6684931506849315,1
225,17,17,7,3,1,0.17647058823529413,0.058823529411764705,0,9.084256095825644,0,1,1,229.0,1,29,8,6,16,1,13,0.7647058823529411,UCF,Tech,Undergraduate,0.6164383561643836,1
110,2,2,2,0,0,0.0,0.0,0,9.084256095825644,0,0,1,439.0,0,0,0,0,3,1,2,1.0,UCF,Tech,Undergraduate,0.3013698630136986,0
229,3,3,2,1,0,0.3333333333333333,0.0,0,9.084256095825644,0,1,1,813.0,1,219,49,6,24,1,2,0.6666666666666666,UCF,Tech,Undergraduate,0.6273972602739726,1
79,4,4,2,1,0,0.25,0.0,0,9.084256095825644,0,0,1,86.0,1,25,6,3,9,1,3,0.75,UCF,Tech,Undergraduate,0.21643835616438356,1
174,3,3,2,0,0,0.0,0.0,0,9.084256095825644,0,1,1,792.0,0,28,8,2,13,1,3,1.0,UCF,Tech,Undergraduate,0.4767123287671233,1
224,3,3,2,1,1,0.3333333333333333,0.3333333333333333,0,9.084256095825644,0,1,1,224.0,0,1,1,1,2,1,1,0.3333333333333333,UCF,Tech,Undergraduate,0.6136986301369863,1
165,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,181.0,1,51,7,3,18,1,0,0.0,UCF,Tech,Undergraduate,0.4520547945205479,1
166,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,175.0,0,1772,150,19,5,1,0,0.0,UCF,Tech,Undergraduate,0.4547945205479452,1
76,5,5,2,0,0,0.0,0.0,0,9.084256095825644,0,1,1,76.0,0,17,3,2,2,1,5,1.0,UCF,Tech,Undergraduate,0.20821917808219179,1
79,2,2,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,83.0,1,1,1,1,14,1,2,1.0,UCF,Tech,Undergraduate,0.21643835616438356,1
70,6,6,4,2,0,0.3333333333333333,0.0,0,9.084256095825644,0,1,1,69.0,0,1,1,1,5,1,4,0.6666666666666666,UCF,Tech,Undergraduate,0.1917808219178082,1
78,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,85.0,0,1,1,1,2,1,0,0.0,UCF,Tech,Undergraduate,0.2136986301369863,1
274,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,980.0,1,15,9,5,11,1,0,0.0,UCF,Tech,Undergraduate,0.7506849315068493,1
309,14,14,5,5,0,0.35714285714285715,0.0,1,7.0,1,0,1,447.0,1,1154,143,14,30,1,9,0.6428571428571429,UCF,Tech,Undergraduate,0.8465753424657534,1
39,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,39.0,0,1,1,1,2,1,0,0.0,UCF,Tech,Undergraduate,0.10684931506849316,1
36,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,80.0,0,1,1,1,4,1,0,0.0,UCF,Tech,Undergraduate,0.09863013698630137,1
78,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,77.0,0,5,5,2,1,1,0,0.0,UCF,Tech,Undergraduate,0.2136986301369863,1
295,4,4,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,449.0,1,160,22,4,15,1,4,1.0,UCF,Tech,Undergraduate,0.8082191780821918,1
63,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,136.0,0,2,2,2,1,1,0,0.0,UCF,Tech,Undergraduate,0.1726027397260274,1
38,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,284.0,0,1,1,1,2,1,0,0.0,UCF,Tech,Undergraduate,0.10410958904109589,1
285,8,6,2,2,0,0.25,0.0,0,9.084256095825644,0,1,1,294.0,1,42,7,6,10,1,6,0.75,UCF,Tech,Undergraduate,0.7808219178082192,1
37,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,844.0,0,0,0,0,10,1,0,0.0,UCF,Tech,Undergraduate,0.10136986301369863,0
104,4,4,1,3,0,0.75,0.0,0,9.084256095825644,0,1,1,103.0,1,4,3,2,10,1,1,0.25,UCF,Tech,Undergraduate,0.28493150684931506,1
134,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,172.0,0,1,1,1,1,1,0,0.0,UCF,Tech,Undergraduate,0.36712328767123287,1
119,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,119.0,1,1,1,1,9,1,0,0.0,UCF,Tech,Undergraduate,0.32602739726027397,1
96,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,344.0,0,1,1,1,1,1,0,0.0,UCF,Tech,Undergraduate,0.26301369863013696,1
53,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,82.0,0,1,1,1,5,1,1,1.0,UCF,Tech,Grad/Other,0.14520547945205478,1
37,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,36.0,0,1,1,1,1,1,0,0.0,UCF,Tech,Undergraduate,0.10136986301369863,1
111,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,112.0,0,1,1,1,5,1,1,1.0,UCF,Tech,Undergraduate,0.3041095890410959,1
53,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,75.0,0,1,1,1,5,1,0,0.0,UCF,Tech,Grad/Other,0.14520547945205478,1
86,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,86.0,0,1,1,1,7,1,0,0.0,UCF,Tech,Undergraduate,0.2356164383561644,1
85,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,85.0,0,2,1,1,1,1,0,0.0,UCF,Tech,Undergraduate,0.2328767123287671,1
85,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,447.0,0,4,2,1,0,1,0,0.0,UCF,Tech,Undergraduate,0.2328767123287671,1
85,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,84.0,0,32,11,3,5,1,1,1.0,UCF,Tech,Undergraduate,0.2328767123287671,1
154,5,5,2,2,0,0.4,0.0,0,9.084256095825644,0,1,1,662.0,1,91,32,4,16,1,3,0.6,UCF,Tech,Undergraduate,0.42191780821917807,1
69,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,68.0,0,1,1,1,1,1,0,0.0,UCF,Tech,Undergraduate,0.18904109589041096,1
86,12,12,7,6,0,0.5,0.0,0,9.084256095825644,0,1,1,85.0,0,1,1,1,10,1,6,0.5,UCF,Tech,Undergraduate,0.2356164383561644,1
37,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,37.0,0,1,1,1,2,1,0,0.0,UCF,Tech,Undergraduate,0.10136986301369863,1
76,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,404.0,0,2,1,1,5,1,1,1.0,UCF,Tech,Undergraduate,0.20821917808219179,1
84,6,6,4,0,0,0.0,0.0,0,9.084256095825644,0,1,1,114.0,1,738,40,8,12,1,6,1.0,Other,Tech,Undergraduate,0.23013698630136986,1
51,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,74.0,0,4,3,3,5,1,1,1.0,UCF,Tech,Grad/Other,0.13972602739726028,1
292,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,334.0,0,3,2,2,5,1,1,1.0,UCF,Tech,Undergraduate,0.8,1
36,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,75.0,1,2,2,2,14,1,1,1.0,UCF,Tech,Undergraduate,0.09863013698630137,1
